date,Total Housing Starts,PPI by Deep Sea Freight,PPI by Truckload,Household Estimates,Real GDP per capita,Rental Price,Median Multiple,Mortgage Spread
2022-07-01,1392.0,444.804,224.278,128138.0,65939.0,1840.7404628903944,5.644693601391842,2.5225
2022-08-01,1520.0,458.815,214.944,128117.0,66073.0,1851.323975766653,5.628007725386002,2.3575
2022-09-01,1470.0,468.156,214.781,128667.0,66207.0,1853.9392660153912,5.611535199321459,2.62
2022-10-01,1440.0,468.11,209.579,129236.0,66341.0,1849.519826655502,5.59527195727063,2.9
2022-11-01,1420.0,461.904,212.075,129341.0,66451.66666666667,1843.5413024116192,5.5030044176454584,2.97
2022-12-01,1340.0,459.372,211.253,129612.0,66562.33333333333,1840.523422909424,5.4118944335216215,2.774
2023-01-01,1361.0,433.237,199.93,129358.0,66673.0,1842.513501833456,5.321920357275772,2.7675
2023-02-01,1404.0,446.935,193.505,129400.0,66763.66666666667,1849.4007746108907,5.46837185965317,2.555
2023-03-01,1342.0,403.374,188.045,128942.0,66854.33333333333,1861.93878468832,5.408990347484291,2.8440000000000003
2023-04-01,1368.0,400.943,182.593,129933.0,66945.0,1873.305134289442,5.348405774774865,2.8874999999999997
2023-05-01,1583.0,434.42,177.116,130190.0,67129.66666666667,1885.9536539892451,5.405067246145856,2.8649999999999998
2023-06-01,1415.0,411.803,174.979,130179.0,67314.33333333333,1894.1155063703184,5.460895635753688,2.972
2023-07-01,1473.0,436.784,175.61,130278.0,67499.0,1903.5873158986371,5.516916711301212,2.9225
2023-08-01,1305.0,452.689,175.03,130287.0,67618.66666666667,1908.83203593754,5.449550926802269,2.8899999999999997
2023-09-01,1363.0,432.525,178.395,130593.0,67738.33333333333,1910.1991346499317,5.382574434230378,2.79
2023-10-01,1365.0,408.92,177.857,131208.0,67858.0,1906.9713673905756,5.316477969388765,2.8049999999999997
2023-11-01,1510.0,396.223,178.724,131132.0,67899.0,1901.784264343602,5.316235208112776,2.9524999999999997
2023-12-01,1568.0,408.436,176.596,131277.0,67940.0,1898.809819945532,5.316485153605942,2.8675
2024-01-01,1376.0,420.196,172.009,131356.0,67981.0,1902.2375473186064,5.316243736523672,2.58
2024-02-01,1546.0,410.193,175.045,130955.0,68094.0,1911.3874532593663,5.250174677204594,2.6079999999999997
2024-03-01,1299.0,398.465,173.176,130966.0,68207.0,1924.001755399015,5.185431308492869,2.6075
2024-04-01,1377.0,400.708,174.121,131258.0,68320.0,1936.855419913829,5.120095149345474,2.4400000000000004
2024-05-01,1315.0,414.552,172.055,131456.0,68445.33333333333,1949.4150815418288,5.10938048844754,2.5740000000000003
2024-06-01,1329.0,434.674,171.892,131528.0,68570.66666666667,1960.2484893500753,5.098260863266463,2.6525
2024-07-01,1262.0,439.668,175.818,131685.0,68696.0,1968.6915535790952,5.087664813208046,2.59
2024-08-01,1379.0,432.687,174.937,132150.0,68788.0,1972.69738591862,5.089290801343117,2.574
2024-09-01,1355.0,414.282,175.155,132508.0,68880.0,1973.722919913241,5.090907703216955,2.4475
2024-10-01,1344.0,410.83,175.66,132533.0,68972.0,1969.97783050488,5.092973352632023,2.3240000000000003
2024-11-01,1305.0,391.288,176.842,132405.0,68985.99312443985,1966.8494023382505,5.042704400123505,2.4133333333333336
2024-12-01,1515.0,388.204,182.48,132276.0,69081.38026655093,1963.4257394250108,4.994463227742435,2.3049999999999997
2025-01-01,1366.0,378.846,183.01,132726.8728648345,69179.9469800652,1963.1736613426183,4.9473279674884925,2.2673455883653486
2025-02-01,,375.29329977389517,181.05127333333365,132870.97151415749,69278.51369357994,1970.2615655137342,4.9291708541772765,2.257319901940087
2025-03-01,,377.88669900892876,180.38219000000035,133001.12513290066,69367.54169288324,1976.663543474744,4.912188404012015,2.397265193569752
2025-04-01,,375.99357007481467,179.52138000000005,133145.22378222365,69466.10840639798,1983.75144764586,4.893570843325057,2.3647973935060795
2025-05-01,,377.37551586733497,179.63093333333342,133284.67408801988,69561.49554850906,1990.6107097469503,4.882235393811139,2.3600010215476313
2025-06-01,,376.3667234184687,179.65271333333342,133428.77273734286,69660.06226202333,1997.6986139180954,4.870261831897308,2.4621934389434856
